ELR Date,Test Result,ELR Count
6/18/20,Negative Tests,7654
6/25/20,Positive Tests,512
6/25/20,Negative Tests,12064
6/27/20,Positive Tests,320
6/27/20,Negative Tests,6763
7/4/20,Positive Tests,432
7/4/20,Negative Tests,6608
7/6/20,Negative Tests,6520
7/6/20,Positive Tests,338
7/11/20,Negative Tests,6635
7/11/20,Positive Tests,433
7/13/20,Positive Tests,387
7/13/20,Negative Tests,6709
7/20/20,Positive Tests,397
7/20/20,Negative Tests,7558
7/22/20,Positive Tests,408
7/22/20,Negative Tests,8825
7/29/20,Positive Tests,366
7/29/20,Negative Tests,6796
7/31/20,Positive Tests,463
7/31/20,Negative Tests,8902
8/5/20,Positive Tests,2653
8/5/20,Negative Tests,7383
8/7/20,Negative Tests,2103
8/7/20,Positive Tests,455
8/14/20,Positive Tests,673
8/14/20,Negative Tests,17289
8/16/20,Positive Tests,192
8/16/20,Negative Tests,3488
8/23/20,Positive Tests,295
8/23/20,Negative Tests,5259
8/25/20,Positive Tests,735
8/25/20,Negative Tests,7183
8/30/20,Positive Tests,342
8/30/20,Negative Tests,5753
9/1/20,Positive Tests,463
9/1/20,Negative Tests,6393
9/8/20,Positive Tests,161
9/8/20,Negative Tests,5058
9/10/20,Positive Tests,318
9/10/20,Negative Tests,10130
9/17/20,Positive Tests,531
9/17/20,Negative Tests,8086
9/19/20,Positive Tests,217
9/19/20,Negative Tests,4376
9/24/20,Positive Tests,552
9/24/20,Negative Tests,10053
9/26/20,Negative Tests,5711
9/26/20,Positive Tests,266
9/28/20,Negative Tests,8353
9/28/20,Positive Tests,392
10/3/20,Negative Tests,6590
10/3/20,Positive Tests,338
10/5/20,Positive Tests,399
10/5/20,Negative Tests,8634
10/12/20,Positive Tests,524
10/12/20,Negative Tests,13713
10/14/20,Positive Tests,643
10/14/20,Negative Tests,16801
10/19/20,Positive Tests,445
10/19/20,Negative Tests,13174
10/21/20,Positive Tests,613
10/21/20,Negative Tests,13702
10/23/20,Negative Tests,13524
10/23/20,Positive Tests,581
10/28/20,Negative Tests,15340
10/28/20,Positive Tests,805
10/30/20,Positive Tests,859
10/30/20,Negative Tests,26538
11/6/20,Positive Tests,1069
11/6/20,Negative Tests,15068
11/8/20,Positive Tests,826
11/8/20,Negative Tests,10744
11/13/20,Positive Tests,1524
11/13/20,Negative Tests,19007
11/15/20,Negative Tests,12024
11/15/20,Positive Tests,976
11/17/20,Negative Tests,18055
11/17/20,Positive Tests,1453
11/22/20,Negative Tests,14860
11/22/20,Positive Tests,1321
11/24/20,Positive Tests,1828
11/24/20,Negative Tests,21428
12/1/20,Positive Tests,1947
12/1/20,Negative Tests,18397
12/3/20,Positive Tests,3225
12/3/20,Negative Tests,41821
12/10/20,Positive Tests,1932
12/10/20,Negative Tests,25013
12/12/20,Negative Tests,18052
12/12/20,Positive Tests,1489
12/17/20,Negative Tests,23377
12/17/20,Positive Tests,1821
12/19/20,Positive Tests,1259
12/19/20,Negative Tests,16497
12/26/20,Positive Tests,763
4/3/20,Negative Tests,2467
4/3/20,Positive Tests,286
4/5/20,Positive Tests,108
4/5/20,Negative Tests,1416
4/10/20,Positive Tests,165
4/10/20,Negative Tests,2093
4/12/20,Positive Tests,135
4/12/20,Negative Tests,1693
4/19/20,Positive Tests,175
4/19/20,Negative Tests,1771
4/21/20,Positive Tests,187
4/21/20,Negative Tests,2322
4/28/20,Positive Tests,171
4/28/20,Negative Tests,3464
4/30/20,Positive Tests,169
4/30/20,Negative Tests,3134
5/5/20,Positive Tests,117
5/5/20,Negative Tests,2975
5/7/20,Negative Tests,2922
5/7/20,Positive Tests,158
5/14/20,Positive Tests,186
5/14/20,Negative Tests,3744
5/16/20,Positive Tests,85
5/16/20,Negative Tests,3892
5/23/20,Positive Tests,113
5/23/20,Negative Tests,3110
5/25/20,Positive Tests,38
5/25/20,Negative Tests,2894
5/30/20,Positive Tests,104
5/30/20,Negative Tests,3590
6/1/20,Positive Tests,87
6/1/20,Negative Tests,4051
6/3/20,Negative Tests,4228
6/3/20,Positive Tests,114
6/8/20,Negative Tests,5422
6/8/20,Positive Tests,132
6/10/20,Positive Tests,189
6/10/20,Negative Tests,5875
6/17/20,Positive Tests,215
6/17/20,Negative Tests,7491
6/19/20,Positive Tests,297
6/19/20,Negative Tests,7813
6/24/20,Positive Tests,117
6/24/20,Negative Tests,2467
6/26/20,Negative Tests,7577
6/26/20,Positive Tests,446
6/28/20,Negative Tests,5489
6/28/20,Positive Tests,255
7/3/20,Negative Tests,7659
7/3/20,Positive Tests,471
7/5/20,Positive Tests,265
7/5/20,Negative Tests,4815
7/12/20,Positive Tests,394
7/12/20,Negative Tests,6017
7/14/20,Positive Tests,446
7/14/20,Negative Tests,9680
7/19/20,Positive Tests,448
7/19/20,Negative Tests,7138
7/21/20,Positive Tests,563
7/21/20,Negative Tests,17415
7/23/20,Negative Tests,9888
7/23/20,Positive Tests,573
7/28/20,Negative Tests,8075
7/28/20,Positive Tests,487
7/30/20,Positive Tests,483
7/30/20,Negative Tests,8168
8/6/20,Positive Tests,591
8/6/20,Negative Tests,5898
8/8/20,Positive Tests,434
8/8/20,Negative Tests,1884
8/15/20,Positive Tests,341
8/15/20,Negative Tests,5452
8/17/20,Negative Tests,7852
8/17/20,Positive Tests,395
